1691340078823,主播,Fay,北京市朝阳区富国海底世界4

1691340078940,进入,5***,来了

1691340080214,进入,用***,来了

1691340081600,进入,用***,来了

1691340081594,进入,米***,来了

1691340081594,进入,罖***,来了

1691340082911,进入,足***,来了

1691340082930,进入,幽***,来了

1691340083583,进入,松***,来了

1691340084403,进入,快***,来了

1691340084375,进入,豌***,来了

1691340084942,进入,蛇***,来了

1691340085000,进入,冰***,来了

1691340085069,进入,超***,来了

1691340085543,进入,是***,来了

1691340085537,进入,ฅ***,来了

1691340086909,主播,Fay,我们的直播间越来越多人咯

1691340087013,进入,R***,来了

1691340087058,进入,K***,来了

1691340088159,进入,y***,来了

1691340088793,进入,G***,来了

1691340090350,进入,何***,来了

1691340090917,进入,是***,来了

1691340090888,进入,佛***,来了

1691340092881,进入,S***,来了

1691340093442,主播,Fay,感谢佛***的到来

1691340093539,进入,🍄***,来了

1691340093561,进入,吕***,来了

1691340094185,进入,Y***,来了

1691340095600,进入,天***,来了

1691340096839,进入,细***,来了

1691340097374,进入,齐***,来了

1691340097405,进入,安***,来了

1691340098189,进入,用***,来了

1691340098184,进入,P***,来了

1691340098816,进入,木***,来了

1691340098885,进入,用***,来了

1691340099134,主播,Fay,我们的直播间越来越多人咯

1691340100925,发言,🌈***,有地铁吗？

1691340102056,进入,娜***,来了

1691340102702,进入,筱***,来了

1691340103225,主播,Fay,欢印用***来到我们的直播间

1691340103569,进入,想***,来了

1691340103575,进入,用***,来了

1691340104807,进入,開***,来了

1691340105422,进入,远***,来了

1691340105522,进入,团***,来了

1691340106583,进入,黑***,来了

1691340107353,进入,朝***,来了

1691340108582,进入,@***,来了

1691340109672,主播,Fay,北京市朝阳区富国海底世界1

1691340110085,发言,😋***,[尬笑][尬笑]

1691340110707,进入,刘***,来了

1691340111251,进入,用***,来了

1691340112667,进入,大***,来了

1691340113338,进入,崇***,来了

1691340114073,进入,辉***,来了

1691340114621,进入,葡***,来了

1691340115186,进入,小***,来了

1691340116207,主播,Fay,我们的直播间越来越多人咯

1691340117204,进入,华***,来了

1691340117273,进入,无***,来了

1691340117273,进入,雀***,来了

1691340117829,发言,🌈***,地点是什么

1691340120326,主播,Fay,感谢雀***的到来

1691340121243,进入,王***,来了

1691340123843,进入,滴***,来了

1691340123871,进入,世***,来了

1691340123877,进入,咖***,来了

1691340124762,进入,狼***,来了

1691340125723,进入,s***,来了

1691340125833,进入,刘***,来了

1691340125911,进入,执***,来了

1691340126605,进入,张***,来了

1691340126675,进入,培***,来了

1691340126838,主播,Fay,我们的直播间越来越多人咯

1691340127263,进入,皮***,来了

1691340127747,进入,g***,来了

1691340129229,进入,猫***,来了

1691340129870,进入,徐***,来了

1691340130401,进入,雪***,来了

1691340130887,主播,Fay,感谢g***的到来

1691340131075,进入,默***,来了

1691340131680,进入,十***,来了

1691340133125,进入,白***,来了

1691340133125,进入,糖***,来了

1691340133192,进入,a***,来了

1691340136078,进入,🐟***,来了

1691340136495,进入,花***,来了

1691340136495,进入,饿***,来了

1691340137101,发言,🌈***,有公交是吗？

1691340137515,主播,Fay,北京朝阳区工体富国海底世界
夜场：17：00---20：00
白天：9：oo----20：00
白天1米以下小朋友免费，晚上1.2米以下小朋友免费
 平日夜场美人鱼：19：15
周末夜场美人鱼：17：45   19：15
1号链接是周一到周五夜场（39.9元）
2号链接是周末夜9.9元）
6号线东大桥A口出场（2号线朝阳门A口出
海狮表演、美人鱼表演、人鲨共舞，黄金风暴表演、海底魔术表演

1691340137703,进入,M***,来了

1691340137732,进入,车***,来了

1691340138340,进入,丽***,来了

1691340138352,进入,小***,来了

1691340139059,进入,王***,来了

1691340139077,进入,剑***,来了

1691340141711,进入,@***,来了

1691340142335,进入,星***,来了

1691340143023,进入,🐟***,来了

1691340144358,进入,清***,来了

1691340144992,进入,M***,来了

1691340146658,进入,飘***,来了

1691340146986,进入,s***,来了

1691340147041,进入,涛***,来了

1691340147697,进入,午***,来了

1691340149055,进入,欧***,来了

1691340149636,进入,阿***,来了

1691340152331,进入,星***,来了

